Date,Value
2016-04-01,2.8688
2016-04-05,2.8675
2016-04-06,2.885
2016-04-07,2.9125
2016-04-08,2.9075
2016-04-11,2.885
2016-04-12,2.905
2016-04-13,2.925
2016-04-14,2.93
2016-04-15,2.94
2016-04-18,2.91
2016-04-19,2.92
2016-04-20,2.92
2016-04-21,2.94
2016-04-22,2.95
2016-04-25,2.965
2016-04-26,2.955
2016-04-27,2.95
2016-04-28,2.9225
2016-04-29,2.92
2016-05-03,2.89
2016-05-04,2.89
2016-05-05,2.88
2016-05-06,2.8975
2016-05-09,2.89
2016-05-10,2.8725
2016-05-11,2.87
2016-05-12,2.87
2016-05-13,2.875
2016-05-16,2.875
2016-05-17,2.89
2016-05-18,2.905
2016-05-19,2.905
2016-05-20,2.905
2016-05-23,2.905
2016-05-24,2.905
2016-05-25,2.91
2016-05-26,2.91
2016-05-27,2.925
2016-05-30,2.905
2016-05-31,2.905
2016-06-01,2.9825
2016-06-02,3.0075
2016-06-03,3.0175
2016-06-06,3.0025
2016-06-07,3.0033
2016-06-08,3.0075
2016-06-12,3.0025
2016-06-13,3.0
2016-06-14,2.96
2016-06-15,2.9663
2016-06-16,2.9488
2016-06-17,2.9395
2016-06-20,2.9425
2016-06-21,2.9538
2016-06-22,2.9213
2016-06-23,2.92
2016-06-24,2.9025
2016-06-27,2.825
2016-06-28,2.8288
2016-06-29,2.8638
2016-06-30,2.8425
2016-07-01,2.8013
2016-07-04,2.825
2016-07-05,2.8376
2016-07-06,2.8325
2016-07-07,2.8138
2016-07-08,2.8075
2016-07-11,2.8113
2016-07-12,2.835
2016-07-13,2.84
2016-07-14,2.8325
2016-07-15,2.835
2016-07-18,2.825
2016-07-19,2.8213
2016-07-20,2.8063
2016-07-21,2.775
2016-07-22,2.7913
2016-07-25,2.8075
2016-07-26,2.799
2016-07-27,2.79
2016-07-28,2.7875
2016-07-29,2.7675
2016-08-01,2.775
2016-08-02,2.785
2016-08-03,2.7663
2016-08-04,2.7663
2016-08-05,2.755
2016-08-08,2.76
2016-08-09,2.73
2016-08-10,2.6875
2016-08-11,2.7
2016-08-12,2.69
2016-08-15,2.6375
2016-08-16,2.65
2016-08-17,2.695
2016-08-18,2.7075
2016-08-19,2.7195
2016-08-22,2.7225
2016-08-23,2.7175
2016-08-24,2.7675
2016-08-25,2.75
2016-08-26,2.7475
2016-08-29,2.745
2016-08-30,2.7725
2016-08-31,2.7925
2016-09-01,2.74
2016-09-02,2.735
2016-09-05,2.75
2016-09-06,2.745
2016-09-07,2.7658
2016-09-08,2.7815
2016-09-09,2.7713
2016-09-12,2.79
2016-09-13,2.7663
2016-09-14,2.7525
2016-09-18,2.765
2016-09-19,2.7625
2016-09-20,2.7425
2016-09-21,2.7613
2016-09-22,2.745
2016-09-23,2.7263
2016-09-26,2.7175
2016-09-27,2.715
2016-09-28,2.73
2016-09-29,2.735
2016-09-30,2.72
2016-10-08,2.7038
2016-10-09,2.67
2016-10-10,2.685
2016-10-11,2.6675
2016-10-12,2.6738
2016-10-13,2.7088
2016-10-14,2.6888
2016-10-17,2.6925
2016-10-18,2.6913
2016-10-19,2.6875
2016-10-20,2.6525
2016-10-21,2.65
2016-10-24,2.63
2016-10-25,2.6825
2016-10-26,2.7025
2016-10-27,2.7213
2016-10-28,2.6938
2016-10-31,2.7213
2016-11-01,2.7499
2016-11-02,2.7413
2016-11-03,2.7351
2016-11-04,2.7376
2016-11-07,2.7441
2016-11-08,2.776
2016-11-09,2.7685
2016-11-10,2.7811
2016-11-11,2.8256
2016-11-14,2.8558
2016-11-15,2.885
2016-11-16,2.8518
2016-11-17,2.8866
2016-11-18,2.9019
2016-11-21,2.8994
2016-11-22,2.8796
2016-11-23,2.8696
2016-11-24,2.8765
2016-11-25,2.8819
2016-11-28,2.8672
2016-11-29,2.9163
2016-11-30,2.9564
2016-12-01,2.9663
2016-12-02,3.0063
2016-12-05,3.0138
2016-12-06,3.106
2016-12-07,3.0962
2016-12-08,3.0618
2016-12-09,3.0859
2016-12-12,3.1121
2016-12-13,3.1816
2016-12-14,3.1822
2016-12-15,3.3031
2016-12-16,3.2946
2016-12-19,3.2962
2016-12-20,3.361
2016-12-21,3.3106
2016-12-22,3.2414
2016-12-23,3.1968
2016-12-26,3.1963
2016-12-27,3.152
2016-12-28,3.1618
2016-12-29,3.1102
2016-12-30,3.0358
2017-01-03,3.1311
2017-01-04,3.1122
2017-01-05,3.2145
2017-01-06,3.195
2017-01-09,3.2074
2017-01-10,3.1782
2017-01-11,3.2177
2017-01-12,3.1905
2017-01-13,3.2149
2017-01-16,3.2249
2017-01-17,3.2636
2017-01-18,3.2738
2017-01-19,3.2849
2017-01-20,3.2451
2017-01-22,3.2351
2017-01-23,3.2602
2017-01-24,3.2749
2017-01-25,3.3097
2017-01-26,3.3292
2017-02-03,3.3299
2017-02-04,3.4146
2017-02-06,3.4292
2017-02-07,3.4599
2017-02-08,3.4512
2017-02-09,3.4313
2017-02-10,3.3968
2017-02-13,3.4265
2017-02-14,3.402
2017-02-15,3.4414
2017-02-16,3.3924
2017-02-17,3.3825
2017-02-20,3.3107
2017-02-21,3.3373
2017-02-22,3.3457
2017-02-23,3.3169
2017-02-24,3.3324
2017-02-27,3.3228
2017-02-28,3.3179
2017-03-01,3.3115
2017-03-02,3.3315
2017-03-03,3.3465
2017-03-06,3.3593
2017-03-07,3.3694
2017-03-08,3.3757
2017-03-09,3.407
2017-03-10,3.412
2017-03-13,3.4165
2017-03-14,3.3724
2017-03-15,3.3636
2017-03-16,3.2728
2017-03-17,3.3127
2017-03-20,3.313
2017-03-21,3.3431
2017-03-22,3.2984
2017-03-23,3.3157
2017-03-24,3.2738
2017-03-27,3.2264
2017-03-28,3.2388
2017-03-29,3.2808
2017-03-30,3.2936
2017-03-31,3.2838
2017-04-01,3.2613
2017-04-05,3.2843
2017-04-06,3.3265
2017-04-07,3.3018
2017-04-10,3.3143
2017-04-11,3.337
2017-04-12,3.3105
2017-04-13,3.3156
2017-04-14,3.3379
2017-04-17,3.3989
2017-04-18,3.4252
2017-04-19,3.4142
2017-04-20,3.433
2017-04-21,3.4322
2017-04-24,3.4819
2017-04-25,3.4823
2017-04-26,3.4549
2017-04-27,3.4513
2017-04-28,3.4634
2017-05-02,3.4601
2017-05-03,3.5145
2017-05-04,3.5298
2017-05-05,3.5497
2017-05-08,3.5901
2017-05-09,3.6092
2017-05-10,3.6492
2017-05-11,3.7012
2017-05-12,3.6443
2017-05-15,3.6247
2017-05-16,3.6346
2017-05-17,3.625
2017-05-18,3.615
2017-05-19,3.6302
2017-05-22,3.6353
2017-05-23,3.6551
2017-05-24,3.6849
2017-05-25,3.6455
2017-05-26,3.6559
2017-05-27,3.6559
2017-05-31,3.6562
2017-06-01,3.6168
2017-06-02,3.6169
2017-06-05,3.6018
2017-06-06,3.6168
2017-06-07,3.684
2017-06-08,3.6418
2017-06-09,3.6394
2017-06-12,3.6072
2017-06-13,3.5626
2017-06-14,3.5688
2017-06-15,3.5325
2017-06-16,3.5675
2017-06-19,3.5205
2017-06-20,3.4881
2017-06-21,3.5105
2017-06-22,3.5429
2017-06-23,3.5479
2017-06-26,3.5381
2017-06-27,3.5134
2017-06-28,3.5209
2017-06-29,3.5482
2017-06-30,3.5656
2017-07-03,3.5732
2017-07-04,3.608
2017-07-05,3.6056
2017-07-06,3.5684
2017-07-07,3.5735
2017-07-10,3.5835
2017-07-11,3.5824
2017-07-12,3.5737
2017-07-13,3.5602
2017-07-14,3.5702
2017-07-17,3.5542
2017-07-18,3.5864
2017-07-19,3.5902
2017-07-20,3.5742
2017-07-21,3.5755
2017-07-24,3.5796
2017-07-25,3.587
2017-07-26,3.6036
2017-07-27,3.6161
2017-07-28,3.6025
2017-07-31,3.6203
2017-08-01,3.6315
2017-08-02,3.6303
2017-08-03,3.6328
2017-08-04,3.6218
2017-08-07,3.6482
2017-08-08,3.6695
2017-08-09,3.6707
2017-08-10,3.661
2017-08-11,3.636
2017-08-14,3.6192
2017-08-15,3.6043
2017-08-16,3.6187
2017-08-17,3.6319
2017-08-18,3.6221
2017-08-21,3.6498
2017-08-22,3.6638
2017-08-23,3.6577
2017-08-24,3.6748
2017-08-25,3.6747
2017-08-28,3.6863
2017-08-29,3.6946
2017-08-30,3.6848
2017-08-31,3.6701
2017-09-01,3.6339
2017-09-04,3.6478
2017-09-05,3.6604
2017-09-06,3.6642
2017-09-07,3.6431
2017-09-08,3.6038
2017-09-11,3.6098
2017-09-12,3.6311
2017-09-13,3.6262
2017-09-14,3.6104
2017-09-15,3.5991
2017-09-18,3.6143
2017-09-19,3.6193
2017-09-20,3.6232
2017-09-21,3.6295
2017-09-22,3.6347
2017-09-25,3.6038
2017-09-26,3.6152
2017-09-27,3.63
2017-09-28,3.6179
2017-09-29,3.6178
2017-09-30,3.6179
2017-10-09,3.6398
2017-10-10,3.656
2017-10-11,3.661
2017-10-12,3.671
2017-10-13,3.6686
2017-10-16,3.6985
2017-10-17,3.7308
2017-10-18,3.7364
2017-10-19,3.7255
2017-10-20,3.7156
2017-10-23,3.7413
2017-10-24,3.732
2017-10-25,3.7617
2017-10-26,3.8016
2017-10-27,3.8017
2017-10-30,3.8983
2017-10-31,3.8959
2017-11-01,3.8827
2017-11-02,3.8563
2017-11-03,3.9006
2017-11-06,3.8868
2017-11-07,3.8964
2017-11-08,3.9255
2017-11-09,3.9008
2017-11-10,3.9223
2017-11-13,3.9664
2017-11-14,4.0025
2017-11-15,3.9795
2017-11-16,3.949
2017-11-17,3.9521
2017-11-20,3.976
2017-11-21,3.982
2017-11-22,3.9868
2017-11-23,4.0028
2017-11-24,4.0059
2017-11-27,3.9623
2017-11-28,3.9799
2017-11-29,3.9941
2017-11-30,3.9318
2017-12-01,3.8894
2017-12-04,3.902
2017-12-05,3.8648
2017-12-06,3.8798
2017-12-07,3.8848
2017-12-08,3.9122
2017-12-11,3.9274
2017-12-12,3.9324
2017-12-13,3.9388
2017-12-14,3.8977
2017-12-15,3.8928
2017-12-18,3.8756
2017-12-19,3.8881
2017-12-20,3.9007
2017-12-21,3.907
2017-12-22,3.8834
2017-12-25,3.8836
2017-12-26,3.8911
2017-12-27,3.8887
2017-12-28,3.9037
2017-12-29,3.8888
2018-01-02,3.8941
2018-01-03,3.9383
2018-01-04,3.9583
2018-01-05,3.9383
2018-01-08,3.9385
2018-01-09,3.9342
2018-01-10,3.9532
2018-01-11,3.9872
2018-01-12,3.9925
2018-01-15,4.0146
2018-01-16,4.0076
2018-01-17,4.0124
2018-01-18,4.0213
2018-01-19,4.0518
2018-01-22,4.0516
2018-01-23,4.0371
2018-01-24,4.0425
2018-01-25,4.0425
2018-01-26,4.023
2018-01-29,4.028
2018-01-30,4.0277
2018-01-31,4.0135
2018-02-01,3.9204
2018-02-02,3.9104
2018-02-05,3.9153
2018-02-06,3.9066
2018-02-07,3.8967
2018-02-08,3.8902
2018-02-09,3.8879
2018-02-11,3.8907
2018-02-12,3.8809
2018-02-13,3.8859
2018-02-14,3.8761
2018-02-22,3.882
2018-02-23,3.8865
2018-02-24,3.889
2018-02-26,3.8719
2018-02-27,3.8567
2018-02-28,3.8383
2018-03-01,3.8318
2018-03-02,3.8319
2018-03-05,3.8371
2018-03-06,3.8372
2018-03-07,3.8272
2018-03-08,3.8073
2018-03-09,3.8173
2018-03-12,3.8298
2018-03-13,3.8323
2018-03-14,3.8425
2018-03-15,3.8352
2018-03-16,3.8303
2018-03-19,3.818
2018-03-20,3.7982
2018-03-21,3.7633
2018-03-22,3.7582
2018-03-23,3.7478
2018-03-26,3.7431
2018-03-27,3.7507
2018-03-28,3.7233
2018-03-29,3.7511
2018-03-30,3.7309
2018-04-02,3.7509
2018-04-03,3.7237
2018-04-04,3.7385
2018-04-08,3.7035
2018-04-09,3.7039
2018-04-10,3.7087
2018-04-11,3.7212
2018-04-12,3.7212
2018-04-13,3.7035
2018-04-16,3.6841
2018-04-17,3.6445
2018-04-18,3.5023
2018-04-19,3.5295
2018-04-20,3.5323
2018-04-23,3.5869
2018-04-24,3.6043
2018-04-25,3.587
2018-04-26,3.622
2018-04-27,3.634
2018-04-28,3.6093
2018-05-02,3.641
2018-05-03,3.6602
2018-05-04,3.6461
2018-05-07,3.6278
2018-05-08,3.6957
2018-05-09,3.7035
2018-05-10,3.7011
2018-05-11,3.6814
2018-05-14,3.6964
2018-05-15,3.7068
2018-05-16,3.733
2018-05-17,3.7096
2018-05-18,3.7192
2018-05-21,3.6997
2018-05-22,3.68
2018-05-23,3.6699
2018-05-24,3.6527
2018-05-25,3.667
2018-05-28,3.6252
2018-05-29,3.6326
2018-05-30,3.6024
2018-05-31,3.6302
2018-06-01,3.6185
2018-06-04,3.6449
2018-06-05,3.6512
2018-06-06,3.6637
2018-06-07,3.6739
2018-06-08,3.6553
2018-06-11,3.6517
2018-06-12,3.6692
2018-06-13,3.6768
2018-06-14,3.6245
2018-06-15,3.5985
2018-06-19,3.6048
2018-06-20,3.5764
2018-06-21,3.5801
2018-06-22,3.5727
2018-06-25,3.5742
2018-06-26,3.5804
2018-06-27,3.5706
2018-06-28,3.5408
2018-06-29,3.4762
2018-07-02,3.492
2018-07-03,3.4658
2018-07-04,3.513
2018-07-05,3.4956
2018-07-06,3.5055
2018-07-09,3.5369
2018-07-10,3.5472
2018-07-11,3.5311
2018-07-12,3.5188
2018-07-13,3.499
2018-07-16,3.479
2018-07-17,3.4804
2018-07-18,3.4692
2018-07-19,3.4989
2018-07-20,3.4491
2018-07-23,3.5142
2018-07-24,3.5541
2018-07-25,3.5643
2018-07-26,3.5444
2018-07-27,3.5322
2018-07-30,3.5227
2018-07-31,3.5079
2018-08-01,3.4926
2018-08-02,3.4741
2018-08-03,3.4803
2018-08-06,3.4583
2018-08-07,3.4654
2018-08-08,3.5029
2018-08-09,3.555
2018-08-10,3.5619
2018-08-13,3.5828
2018-08-14,3.5695
2018-08-15,3.5671
2018-08-16,3.5736
2018-08-17,3.6432
2018-08-20,3.6575
2018-08-21,3.6594
2018-08-22,3.6303
2018-08-23,3.6166
2018-08-24,3.6155
2018-08-27,3.6342
2018-08-28,3.6356
2018-08-29,3.6232
2018-08-30,3.6111
2018-08-31,3.5937
2018-09-03,3.5715
2018-09-04,3.5966
2018-09-05,3.6079
2018-09-06,3.6167
2018-09-07,3.6267
2018-09-10,3.6369
2018-09-11,3.6746
2018-09-12,3.671
2018-09-13,3.6598
2018-09-14,3.6524
2018-09-17,3.6326
2018-09-18,3.6377
2018-09-19,3.6652
2018-09-20,3.6876
2018-09-21,3.6865
2018-09-25,3.6755
2018-09-26,3.6706
2018-09-27,3.6433
2018-09-28,3.6234
2018-09-29,3.6135
2018-09-30,3.6136
2018-10-08,3.6314
2018-10-09,3.6191
2018-10-10,3.6192
2018-10-11,3.5908
2018-10-12,3.5821
2018-10-15,3.5836
2018-10-16,3.5973
2018-10-17,3.5775
2018-10-18,3.5625
2018-10-19,3.5576
2018-10-22,3.5975
2018-10-23,3.5877
2018-10-24,3.5725
2018-10-25,3.5378
2018-10-26,3.5416
2018-10-29,3.5208
2018-10-30,3.5209
2018-10-31,3.5185
2018-11-01,3.495
2018-11-02,3.5222
2018-11-05,3.5388
2018-11-06,3.5303
2018-11-07,3.5102
2018-11-08,3.4854
2018-11-09,3.4891
2018-11-12,3.4894
2018-11-13,3.487
2018-11-14,3.4346
2018-11-15,3.4174
2018-11-16,3.4005
2018-11-19,3.3476
2018-11-20,3.3869
2018-11-21,3.3597
2018-11-22,3.3768
2018-11-23,3.4023
2018-11-26,3.4071
2018-11-27,3.4319
2018-11-28,3.3999
2018-11-29,3.3901
2018-11-30,3.3662
2018-12-03,3.3976
2018-12-04,3.343
2018-12-05,3.2886
2018-12-06,3.323
2018-12-07,3.3102
2018-12-10,3.2928
2018-12-11,3.2876
2018-12-12,3.2954
2018-12-13,3.3031
2018-12-14,3.3523
2018-12-17,3.3739
2018-12-18,3.3942
2018-12-19,3.3639
2018-12-20,3.3185
2018-12-21,3.3256
2018-12-24,3.3479
2018-12-25,3.3166
2018-12-26,3.321
2018-12-27,3.2986
2018-12-28,3.2336
2018-12-29,3.2198
2019-01-02,3.1633
2019-01-03,3.1482
2019-01-04,3.1407
2019-01-07,3.1636
2019-01-08,3.1239
2019-01-09,3.1189
2019-01-10,3.1092
2019-01-11,3.1044
2019-01-14,3.1344
2019-01-15,3.1544
2019-01-16,3.0999
2019-01-17,3.0613
2019-01-18,3.0813
2019-01-21,3.12
2019-01-22,3.1091
2019-01-23,3.1128
2019-01-24,3.1204
2019-01-25,3.1156
2019-01-28,3.1555
2019-01-29,3.1234
2019-01-30,3.1261
2019-01-31,3.1063
2019-02-01,3.1204
2019-02-02,3.1355
2019-02-03,3.1262
2019-02-11,3.112
2019-02-12,3.1049
2019-02-13,3.1096
2019-02-14,3.1138
2019-02-15,3.1223
2019-02-18,3.1336
2019-02-19,3.1681
2019-02-20,3.1637
2019-02-21,3.1707
2019-02-22,3.1669
2019-02-25,3.1993
2019-02-26,3.2344
2019-02-27,3.2307
2019-02-28,3.2386
2019-03-01,3.1939
2019-03-04,3.2152
2019-03-05,3.2121
2019-03-06,3.2139
2019-03-07,3.1789
2019-03-08,3.1502
2019-03-11,3.1466
2019-03-12,3.1606
2019-03-13,3.1417
2019-03-14,3.1465
2019-03-15,3.159
2019-03-18,3.1399
2019-03-19,3.1448
2019-03-20,3.1521
2019-03-21,3.1453
2019-03-22,3.1213
2019-03-25,3.0951
2019-03-26,3.091
2019-03-27,3.0763
2019-03-28,3.0881
2019-03-29,3.0961
2019-04-01,3.1335
2019-04-02,3.2162
2019-04-03,3.2364
2019-04-04,3.2555
2019-04-08,3.2879
2019-04-09,3.3206
2019-04-10,3.3152
2019-04-11,3.3154
2019-04-12,3.3358
2019-04-15,3.3558
2019-04-16,3.3903
2019-04-17,3.4512
2019-04-18,3.421
2019-04-19,3.4084
2019-04-22,3.436
2019-04-23,3.4214
2019-04-24,3.4461
2019-04-25,3.4334
2019-04-26,3.4227
2019-04-28,3.4167
2019-04-29,3.4796
2019-04-30,3.4832
2019-05-05,3.405
2019-05-06,3.354
2019-05-07,3.3711
2019-05-08,3.3571
2019-05-09,3.338
2019-05-10,3.3366
2019-05-13,3.2981
2019-05-14,3.3072
2019-05-15,3.2976
2019-05-16,3.2745
2019-05-17,3.2906
2019-05-20,3.2878
2019-05-21,3.3139
2019-05-22,3.3156
2019-05-23,3.3296
2019-05-24,3.314
2019-05-27,3.3385
2019-05-28,3.364
2019-05-29,3.3215
2019-05-30,3.3001
2019-05-31,3.3014
2019-06-03,3.2861
2019-06-04,3.2677
2019-06-05,3.2641
2019-06-06,3.2601
2019-06-10,3.2374
2019-06-11,3.2902
2019-06-12,3.3147
2019-06-13,3.2975
2019-06-14,3.2763
2019-06-17,3.2518
2019-06-18,3.2567
2019-06-19,3.2709
2019-06-20,3.2634
2019-06-21,3.2719
2019-06-24,3.2682
2019-06-25,3.2787
2019-06-26,3.2778
2019-06-27,3.297
2019-06-28,3.2837
2019-07-01,3.2731
2019-07-02,3.2553
2019-07-03,3.2044
2019-07-04,3.2149
2019-07-05,3.2034
2019-07-08,3.2185
2019-07-09,3.229
2019-07-10,3.2103
2019-07-11,3.1992
2019-07-12,3.1966
2019-07-15,3.23
2019-07-16,3.2232
2019-07-17,3.2215
2019-07-18,3.2176
2019-07-19,3.2211
2019-07-22,3.2116
2019-07-23,3.1763
2019-07-24,3.1895
2019-07-25,3.2189
2019-07-26,3.2138
2019-07-29,3.2098
2019-07-30,3.2341
2019-07-31,3.213
2019-08-01,3.1613
2019-08-02,3.1294
2019-08-05,3.0874
2019-08-06,3.0475
2019-08-07,3.0576
2019-08-08,3.053
2019-08-09,3.0526
2019-08-12,3.0376
2019-08-13,3.0263
2019-08-14,2.9889
2019-08-15,2.998
2019-08-16,3.0257
2019-08-19,3.0422
2019-08-20,3.0324
2019-08-21,3.0571
2019-08-22,3.0705
2019-08-23,3.0681
2019-08-26,3.056
2019-08-27,3.0756
2019-08-28,3.0543
2019-08-29,3.0634
2019-08-30,3.0462
2019-09-02,3.06
2019-09-03,3.0705
2019-09-04,3.0607
2019-09-05,3.0312
2019-09-06,3.0246
2019-09-09,3.0294
2019-09-10,3.034
2019-09-11,3.0583
2019-09-12,3.0802
2019-09-16,3.104
2019-09-17,3.104
2019-09-18,3.117
2019-09-19,3.1222
2019-09-20,3.1275
2019-09-23,3.1106
2019-09-24,3.129
2019-09-25,3.1344
2019-09-26,3.1369
2019-09-27,3.1526
2019-09-29,3.1627
2019-09-30,3.1583
2019-10-08,3.1433
