,Date,Value
1068,20180201,4.3
1069,20180202,4.3
1070,20180205,4.3
1071,20180206,4.3
1072,20180207,4.3
1073,20180208,4.3
1074,20180209,4.3
1075,20180211,4.3
1076,20180212,4.3
1077,20180213,4.3
1078,20180214,4.3
1079,20180222,4.3
1080,20180223,4.3
1081,20180224,4.3
1082,20180226,4.3
1083,20180227,4.3
1084,20180228,4.3
1085,20180301,4.3
1086,20180302,4.3
1087,20180305,4.3
1088,20180306,4.3
1089,20180307,4.3
1090,20180308,4.3
1091,20180309,4.3
1092,20180312,4.3
1093,20180313,4.3
1094,20180314,4.3
1095,20180315,4.3
1096,20180316,4.3
1097,20180319,4.3
1098,20180320,4.3
1099,20180321,4.3
1100,20180322,4.3
1101,20180323,4.3
1102,20180326,4.3
1103,20180327,4.3
1104,20180328,4.3
1105,20180329,4.3
1106,20180330,4.3
1107,20180402,4.3
1108,20180403,4.3
1109,20180404,4.3
1110,20180408,4.31
1111,20180409,4.31
1112,20180410,4.31
1113,20180411,4.31
1114,20180412,4.31
1115,20180413,4.31
1116,20180416,4.31
1117,20180417,4.31
1118,20180418,4.31
1119,20180419,4.31
1120,20180420,4.31
1121,20180423,4.31
1122,20180424,4.31
1123,20180425,4.31
1124,20180426,4.31
1125,20180427,4.31
1126,20180428,4.31
1127,20180502,4.31
1128,20180503,4.31
1129,20180504,4.31
1130,20180507,4.31
1131,20180508,4.31
1132,20180509,4.31
1133,20180510,4.31
1134,20180511,4.31
1135,20180514,4.31
1136,20180515,4.31
1137,20180516,4.31
1138,20180517,4.31
1139,20180518,4.31
1140,20180521,4.31
1141,20180522,4.31
1142,20180523,4.31
1143,20180524,4.31
1144,20180525,4.31
1145,20180528,4.31
1146,20180529,4.31
1147,20180530,4.31
1148,20180531,4.31
1149,20180601,4.31
1150,20180604,4.31
1151,20180605,4.31
1152,20180606,4.31
1153,20180607,4.31
1154,20180608,4.31
1155,20180611,4.31
1156,20180612,4.31
1157,20180613,4.31
1158,20180614,4.31
1159,20180615,4.31
1160,20180619,4.31
1161,20180620,4.31
1162,20180621,4.31
1163,20180622,4.31
1164,20180625,4.31
1165,20180626,4.31
1166,20180627,4.31
1167,20180628,4.31
1168,20180629,4.31
1169,20180702,4.31
1170,20180703,4.31
1171,20180704,4.31
1172,20180705,4.31
1173,20180706,4.31
1174,20180709,4.31
1175,20180710,4.31
1176,20180711,4.31
1177,20180712,4.31
1178,20180713,4.31
1179,20180716,4.31
1180,20180717,4.31
1181,20180718,4.31
1182,20180719,4.31
1183,20180720,4.31
1184,20180723,4.31
1185,20180724,4.31
1186,20180725,4.31
1187,20180726,4.31
1188,20180727,4.31
1189,20180730,4.31
1190,20180731,4.31
1191,20180801,4.31
1192,20180802,4.31
1193,20180803,4.31
1194,20180806,4.31
1195,20180807,4.31
1196,20180808,4.31
1197,20180809,4.31
1198,20180810,4.31
1199,20180813,4.31
1200,20180814,4.31
1201,20180815,4.31
1202,20180816,4.31
1203,20180817,4.31
1204,20180820,4.31
1205,20180821,4.31
1206,20180822,4.31
1207,20180823,4.31
1208,20180824,4.31
1209,20180827,4.31
1210,20180828,4.31
1211,20180829,4.31
1212,20180830,4.31
1213,20180831,4.31
1214,20180903,4.31
1215,20180904,4.31
1216,20180905,4.31
1217,20180906,4.31
1218,20180907,4.31
1219,20180910,4.31
1220,20180911,4.31
1221,20180912,4.31
1222,20180913,4.31
1223,20180914,4.31
1224,20180917,4.31
1225,20180918,4.31
1226,20180919,4.31
1227,20180920,4.31
1228,20180921,4.31
1229,20180925,4.31
1230,20180926,4.31
1231,20180927,4.31
1232,20180928,4.31
1233,20180929,4.31
1234,20180930,4.31
1235,20181008,4.31
1236,20181009,4.31
1237,20181010,4.31
1238,20181011,4.31
1239,20181012,4.31
1240,20181015,4.31
1241,20181016,4.31
1242,20181017,4.31
1243,20181018,4.31
1244,20181019,4.31
1245,20181022,4.31
1246,20181023,4.31
1247,20181024,4.31
1248,20181025,4.31
1249,20181026,4.31
1250,20181029,4.31
1251,20181030,4.31
1252,20181031,4.31
1253,20181101,4.31
1254,20181102,4.31
1255,20181105,4.31
1256,20181106,4.31
1257,20181107,4.31
1258,20181108,4.31
1259,20181109,4.31
1260,20181112,4.31
1261,20181113,4.31
1262,20181114,4.31
1263,20181115,4.31
1264,20181116,4.31
1265,20181119,4.31
1266,20181120,4.31
1267,20181121,4.31
1268,20181122,4.31
1269,20181123,4.31
1270,20181126,4.31
1271,20181127,4.31
1272,20181128,4.31
1273,20181129,4.31
1274,20181130,4.31
1275,20181203,4.31
1276,20181204,4.31
1277,20181205,4.31
1278,20181206,4.31
1279,20181207,4.31
1280,20181210,4.31
1281,20181211,4.31
1282,20181212,4.31
1283,20181213,4.31
1284,20181214,4.31
1285,20181217,4.31
1286,20181218,4.31
1287,20181219,4.31
1288,20181220,4.31
1289,20181221,4.31
1290,20181224,4.31
1291,20181225,4.31
1292,20181226,4.31
1293,20181227,4.31
1294,20181228,4.31
1295,20181229,4.31
1296,20190102,4.31
1297,20190103,4.31
1298,20190104,4.31
1299,20190107,4.31
1300,20190108,4.31
1301,20190109,4.31
1302,20190110,4.31
1303,20190111,4.31
1304,20190114,4.31
1305,20190115,4.31
1306,20190116,4.31
1307,20190117,4.31
1308,20190118,4.31
1309,20190121,4.31
1310,20190122,4.31
1311,20190123,4.31
1312,20190124,4.31
1313,20190125,4.31
1314,20190128,4.31
1315,20190129,4.31
1316,20190130,4.31
1317,20190131,4.31
1318,20190201,4.31
1319,20190202,4.31
1320,20190203,4.31
1321,20190211,4.31
1322,20190212,4.31
1323,20190213,4.31
1324,20190214,4.31
1325,20190215,4.31
1326,20190218,4.31
1327,20190219,4.31
1328,20190220,4.31
1329,20190221,4.31
1330,20190222,4.31
1331,20190225,4.31
1332,20190226,4.31
1333,20190227,4.31
1334,20190228,4.31
1335,20190301,4.31
1336,20190304,4.31
1337,20190305,4.31
1338,20190306,4.31
1339,20190307,4.31
1340,20190308,4.31
1341,20190311,4.31
1342,20190312,4.31
1343,20190313,4.31
1344,20190314,4.31
1345,20190315,4.31
1346,20190318,4.31
1347,20190319,4.31
1348,20190320,4.31
1349,20190321,4.31
1350,20190322,4.31
1351,20190325,4.31
1352,20190326,4.31
1353,20190327,4.31
1354,20190328,4.31
1355,20190329,4.31
1356,20190401,4.31
1357,20190402,4.31
1358,20190403,4.31
1359,20190404,4.31
1360,20190408,4.31
